Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17
looking for a moderately priced creative food;korean;korean;;;north;north;;;;;;;;spicy;;
im looking for a restaurant in any area that serves kor;thai;thai;;thai;north;north;;;;;;;;;;
im looking for a cheap restaurant in the south part of town;cuban;thai;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant;korean;korean;;;north;north;;;;;;;;spicy;;
pan asian food;indian;cuban;;;;east;;;;cheap;;;;spicy;;
im looking for a cheap restaurant that serves turkish;;;;;north;north;;;;;;;;;;
can i have mediterranean food;;;;;;centre;;;;cheap;;;;;;
i am looking for a cheap restaurant that serves germ;thai;thai;;thai;north;north;;;;;;;;;;
kosher food;;korean;;;;;;;;;;;;;;
i need an expensive restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
moderately priced restaurant;;african;;;;;;;;;;;;spicy;;
cheap restaurant;cuban;thai;;;;west;;;;;;;;;;
find me a restaurant in the north part of town;;thai;;;;;;;;;;;;;;
im looking for a moderately priced restaurant in the south;korean;thai;;;;;;;;;;;;spicy;;
i am looking for a restaurant in the west part of town;korean;thai;;;;;;;;;;;;;;
im looking for food in the south part of town;;thai;;;;;;;;;;;;spicy;;
hi id like a moderately priced restaurant in the north;;thai;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant in the south part of town;thai;thai;;;;;;;;;;;;spicy;;
i need a moderately priced restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
uh yes im looking for a restaurant that serves chinese food;;;;;north;west;;;;cheap;;;;children;;
the west part of town;;thai;;;;;;;;;;;;;;
i want scottish food;;british;;;;west;;;;;;;;;;
can i have a cheap restaurant;cuban;cuban;;;;east;;;;;;;;;;
im looking for a moderately priced restaurant that serves european food;;;;;north;north;;;;;;;;spicy;;
im looking for a restaurant in the north part town and it should serve australian food;australasian;thai;;;;;;;;;;;;spicy;;
noise i am looking for a restaurant;swiss;swiss;;;north;north;;;;;;;;spicy;;
restaurant south part of town;;swiss;;;;;;;;;;;;spicy;;
im looking for a restaurant it should serve vietnamese food;;;;;south;south;;;;;;;;spicy;;
im looking for something moderately priced;;african;;;;;;;;;;;;spicy;;
yes id like a moderately priced restaurant;;african;;;;west;;;;;;;;spicy;;
i want a restaurant serving persian food;;;;;;west;;;;;;;;;;
looking for a restaurant in the center that serves;thai;thai;;thai;;;;;;;;;;;;
im looking for a restaurant serving european food;;;;;north;north;;;;;;;;;;
restaurant in the west part of town that serves ca;thai;thai;;thai;;;;;;;;;;;;
i want a cheap restaurant in the south;thai;thai;;;;;;;;;;;;spicy;;
breath a cheap restaurant in the north part of town;french;thai;;;;;;;;;;;;;;
im looking for a cheap restaurant in the north part of town;cuban;thai;;;;;;;;;;;;;;
im looking for a cheap restaurant that serves chinese food;;;;;north;north;;;;;;;;children;;
im looking for a restaurant in the south part of town that serves indian;;;;;;;;;;;;;;spicy;;
a restaurant in the center of town;;thai;;;;;;;;;;;;;;
im looking for a expensive restaurant serving irish food;turkish;turkish;;;north;north;;;;;;;;spicy;;
moderately priced;;african;;;;;;;;;;;;spicy;;
cheap restaurant;thai;thai;;;;east;;;;;;;;;;
in the center;;thai;;;;;;;;;;;;;;
moderately priced restaurant;;african;;;;;;;;;;;;spicy;;
cheap restaurant;thai;thai;;;;east;;;;;;;;;;
im looking for a moderately priced restaurant in the east part of town;korean;thai;;;;;;;;;;;;spicy;;
moderately priced;;african;;;;;;;;;;;;spicy;;
moderate restaurant south part of town;;swiss;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant that serves irish food;thai;thai;;thai;north;north;;;;;;;;spicy;;
cheap australian;australasian;australasian;;;;west;;;;;;;;;;
im looking for a moderately priced restaurant in the east part of;korean;thai;;;;;;;;;;;;spicy;;
im looking for an expensive restaurant;korean;korean;;;;north;;;;;;;;;;
im looking for an expensive restaurant serving asian oriental;;;;;;east;;;;;;;;spicy;;
i want a restaurant in any area that serves;thai;thai;;thai;;east;;;;;;;;;;
i want a restaurant in the center of town that serves vinesha;thai;thai;;thai;centre;west;centre;centre;;;;;;;;
im looking for an expensive restaurant;korean;korean;;;;north;;;;;;;;;;
im looking for a restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
could i have a restaurant in the south part of town that serves unusual;thai;thai;;thai;;;;;;cheap;;;;spicy;;
looking for an expensive restaurant that;thai;thai;;thai;;north;;;;;;;;;;
im looking for an expensive restaurant;korean;korean;;;;north;;;;;;;;;;
austro food;bistro;bistro;;bistro;;west;;east;;;;;;;;
um im looking for a restaurant in north part of town;korean;korean;;;;;;;;;;;;;;
im looking for a cheap restaurant in the south part of town;thai;thai;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant;cuban;thai;;;north;north;;;;;;;;;;
russian food;fusion;persian;;;;;;;;;;;;;;
im looking for a restaurant in any area;korean;korean;;;north;north;;;;;;;;;;
im looking for a moderate priced restaurant in the east part of town;korean;thai;;;;;;;;;;;;spicy;;
i need a cheap restaurant in the south part of town;cuban;thai;;;;;;;;;;;;spicy;;
iam looking for a restaurant in any area that serves swiss food;;;;;west;west;;;;;;;spicy;spicy;;
i need a restaurant that serves halal food;thai;thai;;thai;;east;;;;cheap;;;;;;
looking for corsica food in an expensive restaurant;indian;indian;;;;;;;;;;;;;;
uh restaurant in the west part of town with scottish food;;thai;;;;;;;;;;;;;;
i want to find a restaurant in the south part of town that serves in;thai;thai;;thai;;;;;;;;;;spicy;;
hello im looking for a moderately priced restaurant in thr;korean;thai;;;north;north;;;;;;;;spicy;;
cheap restaurant;thai;cuban;;;;east;;;;;;;;;;
i want a moderately priced restaurant;;african;;;;east;;;;;;;;spicy;;
cheap italian;;;;;;east;;;;;;;;;;
uh yes i am looking for an expensive restaurant in the south part of;korean;thai;;;;;;;;;;;;spicy;;
yes im looking for a;korean;korean;;;north;west;;;;;;;;;;
im looking for a cheap restaurant;cuban;thai;;;north;north;;;;;;;;;;
i would like moroccan food;;;;;south;south;;;;;;;;;;
i need a restaurant in the east part of town that serves world food;thai;thai;;thai;;;;;;;;;;;;
i need a cheap restaurant in the east part of town;cuban;thai;;;;;;;;;;;;;;
can i get a restaurant in the west part of town;;cuban;;;;;;;;cheap;;;;;;
a cheap restaurant east part of town;cuban;thai;;;;;;;;;;;;;;
im looking for a restaurant in the north part of town that serves christmas food;thai;thai;;thai;;;;;;;;;;;;
hi im looking for a restaurant that serves;thai;thai;;thai;north;north;;;;;;;;;;
i want an expensive steak house;;;;;south;west;;;;;;;;spicy;;
restaurant south part of town christmas food;;swiss;;;;;;;;;;;;spicy;;
find me an expensive restaurant in the south part of town;cuban;thai;;;;;;;;;;;;spicy;;
um i want to find a restaurant that serves fusion food;;;;;;west;;;;;;;;;;
id like to find a spanish restaurant in the center;;;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant in the south part of town;thai;thai;;;;;;;;;;;;spicy;;
australian food;australasian;australasian;;;;;;;;;;;;;;
cheap restaurant;thai;cuban;;;;west;;;;;;;;;;
australian food;australasian;australasian;;;;;;;;;;;;;;
im looking for a restaurant in the center of town that serves;thai;thai;;thai;;;;;;;;;;;;
cantonese food north;;japanese;;;;;;;;;;;;;;
um hi i want to find a restaurant in the town center that serves;thai;thai;;thai;centre;west;centre;centre;;;;;;;;
i want a cheap restaurant in the north part of town;thai;thai;;;;;;;;;;;;;;
yea im looking for a moderately priced restaurant;korean;korean;;;north;north;;;;;;;;spicy;;
im looking for an expensive restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
yes im looking for a restaurant in the north part of town;korean;thai;;;;;;;;;;;;;;
im looking for a restaurant in the east part of town that serves hungarian food;thai;thai;;thai;;;;;;;;;;;;
looking for a restaurant in any area that serves mediterranean;;;;;north;north;;;;;;;;;;
im looking for a cheap restaurant in the west part of town;cuban;thai;;;;;;;;;;;;;;
im looking for an expensive restaurant that serves korean;;;;;;north;;;;;;;;;;
im looking for a moderately priced restaurant that serves;thai;thai;;thai;north;north;;;;;;;;spicy;;
im looking for an expensive restauran;korean;korean;;;;north;;;;;;;;;;
im looking for an expensive restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
indonesian food;;indian;;indian;;;;;;;;;;;;
moderately priced restaurant;;african;;;;;;;;;;;;spicy;;
cheap restaurant east part of town;thai;thai;;;;;;;;;;;;;;
im looking for an expensive restaurant in the south part of;korean;thai;;;;;;;;;;;;spicy;;
north;;korean;;;;;;;;;;;;;;
im looking for a restaurant in the north part of town;korean;thai;;;;;;;;;;;;;;
im looking for a restaurant in the south part of town serving portuguese;;;;;;;;;;;;;;spicy;;
im looking for a restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the center part of town;korean;thai;;;;;;;;;;;;;;
restaurant in the east side of town;;thai;;;;;;;;;;;;;;
find cheap restaurant in south part of town;thai;cuban;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant in the west part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for a;korean;korean;;;north;north;;;;;;;;;;
im looking for an expensive restaurant;korean;korean;;;;north;;;;;;;;;;
moderate price north part of town;;african;;;;;;;;;;;spicy;spicy;;spicy
looking for a cheap restaurant in the east part of town;cuban;thai;;;;;;;;;;;;;;
polish food;spanish;spanish;;;;north;;;;;;;;;;
moderately priced restaurant in the west part of town;;thai;;;;;;;;;;;;spicy;;
i want a moderate priced restaurant in the north part of town;;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
id like to find;;italian;;;;;;;;;;;;;;
im looking for a cheap restaurant in the north part;thai;thai;;;;;;;;;;;;;;
im looking for a moderately priced restaurant serving basque food;korean;korean;;;north;north;;;;;;;;spicy;;
id like a moderately priced restaurant in west of;;african;;;;;;;;;;;;spicy;;
expensive restaurant in the east;;thai;;;;;;;;;;;;;;
moderately priced afghan;african;african;;;;;;;;;;;;spicy;;
im looking for a restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
i want to find a restaurant in the we;indian;thai;;;;east;;west;;cheap;;;;;;
i am looking for a moderate priced restaurant in the west of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for an expensive restaurant serving international food;;;;;;north;;;;;;;;;;
im looking for an expensive restaurant;korean;korean;;;;north;;;;;;;;;;
im looking for a restaurant that serves vegetarian food;thai;thai;;thai;north;north;;;;;;;;;;
i would like an expensive restaurant;;indian;;;south;south;;;;;;;;;;
id like a cheap restaurant in the west part of town;thai;thai;;;;;;;;;;;;;;
cheap restaurant in the south part of town;cuban;thai;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant in the north part of town;thai;thai;;;;;;;;;;;;;;
fast food;;seafood;;;east;east;;east;;;;;;;;
i am searching for a restaurant in the center that serves;thai;thai;;thai;;;;;;;;;;;;
i need a cheap restaurant that serves christmas food;thai;thai;;thai;;west;;;;;;;;;;
im looking a cheap restaurant in the south part of town;cuban;thai;;;;;;;;;;;;spicy;;
steak house food;;;;;south;south;;;cheap;cheap;;;;spicy;;
im looking for moderately priced restaurant that serves;thai;thai;;thai;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant;korean;korean;;;north;north;;;;;;;;spicy;;
im looking for a moderately priced restaurant in the;korean;thai;;;north;north;;;;;;;;spicy;;
im looking for a restaurant in the north part of town and it should serve indo;korean;thai;;;;;;;;;;;;spicy;;
id like a restaurant in the center with russian food;fusion;thai;;;;;;;;;;;;;;
im looking for an expensive restaurant that serves;thai;thai;;thai;;north;;;;;;;;;;
cheap;cuban;cuban;;;;west;;;;;;;;;;
im searching for a restaurant in the south part of town that serves;thai;thai;;thai;;;;;;;;;;spicy;;
looking for a restaurant in any area;korean;korean;;;north;north;;;;;;;;;;
can i have a cheap restaurant;thai;cuban;;;;west;;;;;;;;;;
i want to find a cheap restaurant and it should be in the north part of;cuban;thai;;;;;;;;;;;;;;
i need an expensive restaurant in the east part of town;;thai;;;;;;;;;;;;;;
uh i want to find;;thai;;;;east;;;;;;;;;;
looking for cheap eritrean food;cuban;cuban;;;;east;;;;;;;;;;
looking for a restaurant in the north part of town that serves swedish food;thai;thai;;thai;;;;;;;;;;;;
im looking for a cheap restaurant in the north part of town;cuban;thai;;;;;;;;;;;;;;
restaurant south part of town christmas food;;swiss;;;;;;;;;;;;spicy;;
korean;;;;;;north;;;;cheap;;;;;;
im looking for an expensive restaurant that serves australian food;thai;thai;;thai;;north;;;;;;;;;;
austria asian restaurant in the center of town;australasian;thai;;;;;;;;cheap;;;;spicy;;
spanish food;;;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant in the east part of town;korean;thai;;;;;;;;;;;;spicy;;
id like a restaurant in any area that serves;thai;thai;;thai;;;;;;;;;;;;
i want a moderately priced cantonese restaurant;;african;;;;east;;;;;;;;spicy;;
portuguese food in the south;;;;;;;;;;;;;;spicy;;
im looking for kosher food in the west side;;thai;;;;;;;;;;;;;;
expensive restaurant romanian food;;;;;;;;;;;;;romantic;romantic;;
looking for a moderately priced restaurant in the east;korean;thai;;;;;;;;;;;;spicy;;
uh yes i would like a restaurant in the center and it should serve jamaica;;;;;centre;west;centre;centre;;;;;;spicy;;
cheap restaurant;thai;cuban;;;;west;;;;;;;;;;
chinese food;;;;;;centre;;;;cheap;;;;children;;
im looking for an expensive restaurant and it should serve vietnamese food;;;;;south;south;;;;;;;;spicy;;
uh cheap restaurant;thai;thai;;;;west;;;;;;;;;;
im looking for expensive welsh food;;swiss;;;;;;;;;;;;;;
im looking for an expensive restaurant that serves mediterranean food;;;;;;north;;;;;;;;;;
im looking for a moderately priced restaurant in the north;korean;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant that serves tuscan food;;;;;north;north;;;;;;;;;;
uh yes can i get a moderate moderately priced restaurant in the west part of town;tuscan;cuban;;;;;;;;;;;;spicy;;
im looking for a moderate priced restaurant that serves kosher food;thai;thai;;thai;north;north;;;;;;;;spicy;;
cheap restaurant;thai;cuban;;;;east;;;;;;;;;;
looking for something moderately priced in the north side of town;;thai;;;;;;;;;;;;spicy;;
the north part of town;;thai;;;;;;;;;;;;;;
swedish food expensive;spanish;spanish;;swiss;;west;;;;;;;;;;
yes could i have;;cuban;;;south;west;;;;cheap;;;;;;
im looking for a moderately priced restaurant serving fusion food;;;;;north;north;;;;;;;;spicy;;
uh east;;;;;;;;;;cheap;;;;;;
i want a restaurant in the west part of town that serves venetian food;thai;thai;;thai;;;;;;;;;;;;
looking for austrian food in the center of town;;thai;;;;;;;;;;;;;;
im looking for cheap food in the north of town;thai;thai;;;;;;;;;;;;;;
spanish food;;;;;;;;;;;;;;spicy;;
looking for something moderately priced on the east side of town;;thai;;;;;;;;;;;;spicy;;
yea id like a moderately priced restaurant in the west;;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
i want to find an expensive restaurant in the south part of town;indian;thai;;;;;;;;;;;;spicy;;
i would like an expensive restaurant that serves;thai;thai;;thai;south;south;;;;;;;;;;
i would like a restaurant that serves gastropub food;;;;;south;south;;;;;;;;;;
im looking for a moderately priced restaurant in the south;korean;thai;;;;;;;;;;;;spicy;;
yea id like a cheap restaurant in the north part of town;cuban;thai;;;;;;;;;;;;;;
hi i am looking for a moderately priced restaurant in the west;korean;thai;;;;;;;;;;;;spicy;;
im looking for an expensive restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
im looking for a restaurant in the north part of town;korean;thai;;;;;;;;;;;;;;
uh yes can i have expensive restaurant that serves thai food;;;;;;west;;;;;;;;;;
moderately priced restaurant;;african;;;;;;;;;;;;spicy;;
i need a mexican restaurant;african;african;;;;;;;;;;;;;;
i am looking for a moderately priced restaurant in the west part o;korean;thai;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant serving pan as;cuban;thai;;;north;east;;east;;;;;;;;
im looking for a cheap restaurant;cuban;thai;;;north;north;;;;;;;;;;
moderately priced restaurant;;african;;;;;;;;;;;;spicy;;
north;;korean;;;;;;;;;;;;;;
uh yes im looking for a restaurant that serves afghan food;thai;thai;;thai;north;west;;;;;;;;;;
im looking for an expensive restaurant;korean;korean;;;;north;;;;;;;;;;
im looking for a restaurant in the east part of town that serves world food;thai;thai;;thai;;;;;;;;;;;;
isian food;indian;indian;;;;;;;;cheap;;;;spicy;;
id like a moderately priced restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
im looking for an expensive restaurant that serves thai food;;;;;;north;;;;;;;;;;
im looking for a restaurant in the west part of town that serves corsica food;thai;thai;;thai;;;;;;;;;;;;
im looking for a cheap restaurant in the north part of town;cuban;thai;;;;;;;;;;;;;;
moderately priced restaurant in east part;;african;;;;;;;;;;;;spicy;;
moderately priced north part of;;african;;;;;;;;;;;;spicy;;
moderately priced;;african;;;;;;;;;;;;spicy;;
moderately priced in the west part of town;;thai;;;;;;;;;;;;spicy;;
im trying to find a moderately priced restaurant that serves swedish food;thai;thai;;thai;;west;;;;;;;;spicy;;
im looking for a restaurant in the east part of town and it should serve;korean;thai;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant in the west part of town;cuban;thai;;;;;;;;;;;;;;
im looking for a moderately priced restaurant;korean;korean;;;north;north;;;;;;;;spicy;;
im looking for a restaurant in the east part of town that serves;thai;thai;;thai;;;;;;;;;;;;
cantonese food;;japanese;;;;;;;;;;;;;;
moderately priced in east part of town;;african;;;;;;;;;;;;spicy;;
hi im looking for a moderately priced restaurant;korean;thai;;;north;north;;;;;;;;spicy;;
restaurant in the north part of;;thai;;;;;;;;;;;;;;
im looking for a restaurant in the center of town;korean;thai;;;;;;;;;;;;;;
looking for expensive kosher food;;korean;;;;;;;;;;;;;;
uh yes can i find a cheap restaurant in the north part of town;cuban;cuban;;;;;;;;;;;;;;
i want to find international food;;;;;;west;;;;;;;;;;
i would like portuguese food;;;;;south;south;;;;;;;;;;
uh looking for a restaurant in the west part of town that serves canapes food;thai;thai;;thai;;;;;;cheap;;;;;;
uh north;;korean;;;;;;;;;;;;;;
i would like to find a restaurant that serves halal food;thai;thai;;thai;south;south;;;;cheap;;;;;;
cheap restaurant south part of town;cuban;cuban;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant that serves brazilian;thai;thai;;thai;north;north;;;;;;;;;;
moderately priced;;african;;;;;;;;;;;;spicy;;
a cheap restaurant that serves basque food;thai;thai;;thai;;west;;;;;;;;;;
looking for a modernity priced restaurant in the south part of town;korean;thai;;;;;;;moderate;moderate;;;;spicy;;
spanish food;;;;;;;;;;;;;;spicy;;
mexican food;african;african;;;;;;;;;;;;;;
i want a restaurant that serves portuguese food;;;;;;west;;;;;;;;;;
im looking for a restaurant in the north part of town;korean;thai;;;;;;;;;;;;;;
im looking for an expensive restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
cheap;thai;cuban;;;;west;;;;;;;;;;
i want a moderately priced restaurant in the north part of town;;thai;;;;;;;;;;;;spicy;;
looking for portuguese food in the south part of town;;;;;;;;;;;;;;spicy;;
i want to find a expensive restaurant that serves mediterranean;;;;;;west;;;;;;;;;;
i want an expensive afghan restaurant;african;african;;;;west;;;;;;;;;;
i want a restaurant in the north par;;thai;;;;;;;;;;;;;;
hi i would like an expensive restaurant in the east part;;thai;;;;;;;;;;;;;;
yes can i have an expensive restaurant in the east;tuscan;cuban;;;;;;;;;;;;;;
can i have a restaurant in the north;;cuban;;;;;;;;cheap;;;;;;
im looking for a restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
i want a restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
uh moderately price;;african;;;;;;;;;;;spicy;spicy;;spicy
um a cheap restaurant in the west part of town;thai;thai;;;;;;;;;;;;;;
im looking for jamaican food in the south part of town;;;;;;;;;;;;;;spicy;;
im looking for a restaurant that serves m;thai;thai;;thai;north;north;;;;;;;;;;
i want a moderately priced restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
moderately priced catalan food;;;;;;;;;;;;;;spicy;;
im looking for a restaurant in the;korean;thai;;;north;north;;;;;;;;;;
cheap restaurant;thai;cuban;;;;west;;;;;;;;;;
im looking for a restaurant in the center of town that serves;thai;thai;;thai;;;;;;;;;;;;
i need a restaurant serving af;;persian;;;;;;;;;;;;;;
i want to find a restaurant in the north part of town and it should serve;indian;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the center serving russian food;persian;thai;;;;;;;;;;;;;;
im looking for an expensive restaurant and it should serve unusual food;korean;korean;;;south;south;;;;;;;;spicy;;
i want a cheap restaurant in the west part of town;cuban;thai;;;;;;;;;;;;;;
i am searching for a moderately priced restaurant in the east part of;korean;thai;;;;;;;;;;;;spicy;;
im looking for a cheap creative food restaurant;thai;thai;;;north;north;;;;;;;;;;
im looking for a restaurant in the center park of town that serves;thai;thai;;thai;;;;;;;;;;;;
looking for a moderately priced restaurant in the south part of;korean;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the center that serves sea food;thai;thai;seafood;seafood;;;;;;;;;;;;
moderately priced in the west part of town;;thai;;;;;;;;;;;;spicy;;
im looking for a pan asian food in the south of town;cuban;thai;;;;;;;;cheap;;;;spicy;;
im looking for an expensive restaurant serving vegetarian food;korean;korean;;;;north;;;;;;;;;;
i want a moderately priced restaurant that serves;thai;thai;;thai;;east;;;;;;;;spicy;;
west part of town serving barbecue food;;persian;;;;;;;;;;;;;;
looking for a moderately priced restaurant in the north of town;korean;thai;;;;;;;;;;;;spicy;;
cheap restaurant west part of town;cuban;cuban;;;;;;;;;;;;;;
im looking for a restaurant in the north;korean;thai;;;;;;;;;;;;;;
im looking for a restaurant in the center;korean;thai;;;;;;;;;;;;;;
north part of town;;korean;;;;;;;;;;;;;;
id like a restaurant in the east part of town that serves;thai;thai;;thai;;;;;;;;;;;;
i need a restaurant that serves;thai;thai;;thai;;;;;;;;;;;;
im looking for a restaurant in the east part of town that serves australian;thai;thai;;thai;;;;;;;;;;;;
i want to find a restaurant in the center that should serve belgian food;thai;thai;;thai;centre;east;centre;centre;;;;;;spicy;;
id like a restaurant in the west part of town that serves danish;thai;thai;;thai;;;;;;;;;;;;
hello and welcome to the cambridge;;thai;;;south;north;;;;cheap;;;;;;
i want a scandinavian restaurant thats expensive;;;;;;east;;;;;;;;;;
uh yes can i find a cheap restaurant in the north part of town;thai;cuban;;;;;;;;;;;;;;
moderately priced in the west part of town;;thai;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant;korean;korean;;;north;north;;;;;;;;spicy;;
im looking for an expensive restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the west part of town that serves halo food;thai;thai;;thai;;;;;;;;;;;;
looking for romanian food in the center of town;;;;;;;;;;;;;romantic;romantic;;
i need a moderately priced restaurant in the south;;thai;;;;;;;;;;;;spicy;;
im looking for canapes food in any price range;indian;indian;;;;centre;;;;cheap;;;spicy;spicy;;spicy
expensive restaurant in the east of town;;thai;;;;;;;;;;;;;;
south part of town;;swiss;;;;;;;;;;;;spicy;;
i want to find a moderately priced restaurant in the east part of town;indian;thai;;;;;;;;;;;;spicy;;
i want a malaysian restaurant;;indian;;;;west;;;;;;;;;;
looking for a moderately priced restaurant in the west part of town;korean;thai;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant that serves endonesian;thai;thai;;thai;north;north;;;;;;;;spicy;;
im looking for uh restaurant serving caribbean food;;persian;;;north;north;;;;;;;;;;
im looking for a cheap restaurant in the west part of town;cuban;thai;;;;;;;;;;;;;;
im looking for an expensive restaurant in the east part of t;korean;thai;;;;;;;;;;;;;;
id like to find a moderately priced restaurant in the west of town;indian;thai;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant that serves tuscan food;;;;;north;north;;;;;;;;;;
im looking for an expensive restaurant in the east;korean;thai;;;;;;;;;;;;;;
i want to find a restaurant in the west part of town and it should;indian;thai;;;;;;;;;;;;;;
looking for a cheap restaurant in the east part of town;thai;thai;;;;;;;;;;;;;;
cheap restaurant;thai;cuban;;;;east;;;;;;;;;;
im looking for a restaurant that serves;thai;thai;;thai;north;north;;;;;;;;;;
id like a restaurant in the east part of town;;thai;;;;;;;;;;;;;;
im looking for a restaurant in the west part of town;korean;thai;;;;;;;;;;;;;;
im looking for a moderately priced restaurant that serves international;;;;;north;north;;;;;;;;spicy;;
i want a moderately priced restaurant in the west part of town;;thai;;;;;;;;;;;;spicy;;
i am looking for a cheap restaurant and it should serve seafood;;;;;south;south;;;;;;;;spicy;;
im looking for an expensive restaurant in the east part of town;korean;thai;;;;;;;;;;;;;;
spensive;;persian;;;;;;;;;;;;;;
restaurant any area kosher food;;korean;;;;;;;;;;;;;;
hi im looking for a cheap restaurant with lebanese food;;;;;north;north;;;;;;;;;;
uh i want a cheap restaurant and it should be in the north part of town;cuban;thai;;;;;;;;;;;;;;
im looking for a restaurant that serves polynesian food;;;;;north;north;;;;;;;;;;
cheap restaurant in the north part of town;thai;thai;;;;;;;;;;;;;;
i am looking for a singaporean restaurant in the north part of town;korean;thai;;;;;;;;;;;;;;
i want to find an expensive restaurant in the east part of t;indian;thai;;;;;;;;;;;;;;
restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
moderately priced;;african;;;;;;;;;;;;spicy;;
italian food cheap restaurant;;;;;;west;;;;;;;;;;
a moderately priced restaurant in the;;thai;;;;centre;;;;;;;;spicy;;
im looking for a cheap restaurant in the west part of town;thai;thai;;;;;;;;;;;;;;
im looking for english food in the west part of town;;thai;;;;;;;;;;;;;;
cheap restaurant;thai;thai;;;;west;;;;;;;;;;
a moderately place restaurant;;thai;;;;east;;;;;;;;spicy;;
cheap food in the east part of town;thai;thai;;;;;;;;;;;;;;
moderate restaurant north part of town;;korean;;;;;;;;;;;;;;
im looking for a moderately priced restaurant that serves bistro;;;;;north;north;;;;;;;;spicy;;
expensive restaurant in the south part of town;;thai;;;;;;;;;;;;spicy;;
id like a restaurant in the south part of town that serves;thai;thai;;thai;;;;;;;;;;spicy;;
moderately priced restaurant south part of town;;african;;;;;;;;;;;;spicy;;
i would like to find an expensive restaurant serving;indian;indian;;;south;south;;;;;;;;;;
im looking for a cheap restaurant in the east part of town;thai;thai;;;;;;;;;;;;;;
moderately priced restaurant in the east part of town;;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in any area serving african food;;;;;north;north;;;;;;;;;;
creative food;;;;;;centre;;;;;;;;;;
i want a cheap restaurant in the south part of town;thai;thai;;;;;;;;;;;;spicy;;
im looking for a moderately priced restaurant that serves;thai;thai;;thai;north;north;;;;;;;;spicy;;
moderately priced;;african;;;;;;;;;;;;spicy;;
im looking for a cheap restaurant in the south part of town;thai;thai;;;;;;;;;;;;spicy;;
im looking for a restaurant in the west part of town;korean;thai;;;;;;;;;;;;;;
im looking for a restaurant in any area that serves tuscan food;;;;;north;north;;;;;;;;;;
im looking for a restaurant in the west part of town that serves;thai;thai;;thai;;;;;;;;;;;;
north part of town;;korean;;;;;;;;;;;;;;
korean;;;;;;north;;;;cheap;;;;;;
i want to find an expensive restaurant that serves vegetarian food;thai;thai;;thai;;east;;;;;;;;;;
south part of town;;swiss;;;;;;;;;;;;spicy;;
moderately priced restaurant;;african;;;;;;;;;;;;spicy;;
i want to find a restaurant in the east part of town;indian;thai;;;;;;;;;;;;;;
looking for a moderately priced restaurant in the west part of town;korean;thai;;;;;;;;;;;;spicy;;
cheap restaurant serves spanish food;;;;;;east;;;;;;;;spicy;;
im looking for an expensive restaurant;korean;korean;;;;north;;;;;;;;;;
hi need an;;thai;;;;;;;;;;;;;;
can i get tuscan;;;;;;west;;;;cheap;;;;;;
looking for a restaurant in the south part of town;korean;thai;;;;;;;;;;;;spicy;;
cheap restaurant;thai;thai;;;;west;;;;;;;;;;
