Column1;Column2;Column3;Column4;Column5;Column6;Column7
cuban 1ood;Do you want a restaurant with cuban cuisine at a cheap price range .;Do you want a restaurant with cuban cuisine .;Do you want a restaurant with cuban cuisine .;;FALSE;TRUE
3oderately;Do you want a restaurant at a moderate price range .;Do you want a restaurant .;Do you want a restaurant at a moderate price range .;;FALSE;TRUE
im looking ror a moderately priced restaurant and it should be in the north;Do you want a restaurant with korean cuisine in the north part of town at a moderate price range .;Do you want a restaurant in the north part of town at a moderate price range .;Do you want a restaurant in the north part of town at a moderate price range .;;FALSE;FALSE
im looking for a cheap restaurant in the east part of town;Do you want a restaurant with thai cuisine in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;;FALSE;FALSE
2oderate;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range .;;FALSE;TRUE
looking for ` cheap restaurant in the east part of 3own;Do you want a restaurant with thai cuisine in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;;FALSE;TRUE
4m looking for a;Do you want a restaurant with korean cuisine in the north part of town .;Do you want a restaurant .;Do you want a restaurant .;;FALSE;TRUE
expensive restaurant wouth part of town;Do you want a restaurant in the south part of town at a expensive price range .;Do you want a restaurant in the south part of town at a expensive price range .;Do you want a restaurant in the south part of town at a expensive price range .;;FALSE;FALSE
im looking for a restaurant in the 2ast part of 2own;Do you want a restaurant with korean cuisine in the east part of town .;Do you want a restaurant .;Do you want a restaurant in the east part of town .;;TRUE;TRUE
`heap restaurant;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
`heap restaurant;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
i want 4o find a joderately priced restaurant and it 1hould serve;Do you want a restaurant with indian cuisine at a moderate price range .;Do you want a restaurant .;Do you want a restaurant at a moderate price range .;;TRUE;TRUE
id like a restaurant 7n 4he center with russian food;Do you want a restaurant with tuscan cuisine in the centre part of town .;Do you want a restaurant in the centre part of town .;Do you want a restaurant in the centre part of town .;;FALSE;TRUE
i want to find a 2xpensive restaurant in the south part of town;Do you want a restaurant with indian cuisine in the south part of town at a expensive price range .;Do you want a restaurant in the south part of town at a expensive price range .;Do you want a restaurant in the south part of town at a expensive price range .;;FALSE;TRUE
id like to find a restaurant 5n the west part of town that serves christmas food;Do you want a restaurant with thai cuisine in the west part of town .;Do you want a restaurant in the west part of town .;Do you want a restaurant with thai cuisine in the west part of town .;;FALSE;TRUE
5i im 5ooking for a restaurant with uapanese food;Do you want a restaurant with japanese cuisine in the north part of town .;Do you want a restaurant with japanese cuisine .;Do you want a restaurant with japanese cuisine .;;FALSE;TRUE
7m looking for an expensive restaurant and it should be east 9art of town;Do you want a restaurant with korean cuisine in the east part of town at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;;FALSE;TRUE
cheap 3estaurant;Do you want a restaurant with cuban cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
im looking for an expensive restaurant that serves australian food;Do you want a restaurant with thai cuisine at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant with thai cuisine at a expensive price range .;;FALSE;FALSE
`uropean 2uropean;Do you want a restaurant with european cuisine .;Do you want a restaurant with european cuisine .;Do you want a restaurant with european cuisine .;;FALSE;TRUE
i am searching for a moderately 7riced restaurant in the east part 6f;Do you want a restaurant with korean cuisine in the east part of town at a moderate price range .;Do you want a restaurant in the east part of town at a moderate price range .;Do you want a restaurant in the east part of town at a moderate price range .;;FALSE;TRUE
im looking for a cheap `estaurant;Do you want a restaurant with thai cuisine in the north part of town at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
uh yes im looking for a 2elgian restaurant in new york eity;Do you want a restaurant with persian cuisine in the north part of town .;Do you want a restaurant .;Do you want a restaurant .;;FALSE;TRUE
6m looking for a restaurant 1hat werves japanese food;Do you want a restaurant with japanese cuisine in the north part of town .;Do you want a restaurant with japanese cuisine .;Do you want a restaurant with japanese cuisine in the west part of town .;;TRUE;TRUE
im looking ror q joderately priced restaurant in the east part of town;Do you want a restaurant in the east part of town at a moderate price range .;Do you want a restaurant in the east part of town .;Do you want a restaurant in the east part of town at a moderate price range .;;FALSE;FALSE
5 want a restaurant in the west part of 3own that serves venetian 3ood;Do you want a restaurant with thai cuisine in the west part of town .;Do you want a restaurant in the west part of town .;Do you want a restaurant with thai cuisine in the west part of town .;;FALSE;TRUE
yes can 4 have dan i get swedish food 5n any area;Do you want a restaurant with spanish cuisine .;Do you want a restaurant .;Do you want a restaurant with swiss cuisine .;;TRUE;TRUE
im looking for an expensive restaurant in the south part of town;Do you want a restaurant with korean cuisine in the south part of town at a expensive price range .;Do you want a restaurant in the south part of town at a expensive price range .;Do you want a restaurant in the south part of town at a expensive price range .;;FALSE;FALSE
oooking for something on 1he 1outh side;Do you want a restaurant in the south part of town .;Do you want a restaurant in the south part of town .;Do you want a restaurant in the south part of town .;;FALSE;TRUE
im looking for an expensive restaurant;Do you want a restaurant with korean cuisine at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;;FALSE;FALSE
im looking for a restaurant in the east part of town;Do you want a restaurant with korean cuisine in the east part of town .;Do you want a restaurant in the east part of town .;Do you want a restaurant in the east part of town .;;FALSE;FALSE
im looking for a restaurant in the south part of town;Do you want a restaurant with korean cuisine in the south part of town .;Do you want a restaurant in the south part of town .;Do you want a restaurant in the south part of town .;;FALSE;FALSE
i 5eed q cheap `estaurant that serves christmas food;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant with thai cuisine at a cheap price range .;;FALSE;TRUE
2heap;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
2heap restaurant;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
restaurant yorth part of town;Do you want a restaurant in the north part of town .;Do you want a restaurant in the north part of town .;Do you want a restaurant in the north part of town .;;FALSE;FALSE
5m looking for a 6oderately priced restaurant in the north part of town;Do you want a restaurant with korean cuisine in the north part of town at a moderate price range .;Do you want a restaurant in the north part of town .;Do you want a restaurant in the north part of town at a moderate price range .;;TRUE;TRUE
im looking for an expensive restaurant in 2he east part of town;Do you want a restaurant with korean cuisine in the east part of town at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;;FALSE;TRUE
im looking 1or a `heap `estaurant;Do you want a restaurant with thai cuisine in the north part of town at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
im looking for a cheap restaurant;Do you want a restaurant with thai cuisine in the north part of town at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;FALSE
5 want a 3estaurant in the center 8f town that serves vinesha;Do you want a restaurant with thai cuisine in the centre part of town .;Do you want a restaurant in the centre part of town .;Do you want a restaurant with thai cuisine in the centre part of town .;;FALSE;TRUE
i want to find a 3estaurant in the we;Do you want a restaurant with indian cuisine .;Do you want a restaurant .;Do you want a restaurant in the west part of town .;;TRUE;TRUE
6oderately 9riced;Do you want a restaurant at a moderate price range .;Do you want a restaurant .;Do you want a restaurant at a moderate price range .;;FALSE;TRUE
`est part of town;Do you want a restaurant in the west part of town .;Do you want a restaurant .;Do you want a restaurant in the west part of town .;;FALSE;TRUE
hello darling im looking for a restaurant in the north part 8f town;Do you want a restaurant with korean cuisine in the north part of town .;Do you want a restaurant in the north part of town .;Do you want a restaurant in the north part of town .;;FALSE;TRUE
eheap restaurant;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;FALSE
i want to find a restaurant in the centre that serves 3hai food;Do you want a restaurant with thai cuisine in the centre part of town .;Do you want a restaurant in the centre part of town .;Do you want a restaurant with thai cuisine in the centre part of town .;;FALSE;TRUE
6m looking for a moderate 9riced restaurant in the south part of town;Do you want a restaurant with korean cuisine in the south part of town at a moderate price range .;Do you want a restaurant in the south part of town at a moderate price range .;Do you want a restaurant in the south part of town at a moderate price range .;;FALSE;TRUE
i `ant to find moderately priced restaurant it should 2e;Do you want a restaurant in the south part of town at a moderate price range .;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range .;;FALSE;TRUE
yes can i have `n expensive restaurant;Do you want a restaurant with tuscan cuisine at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;;FALSE;TRUE
looking for moderately 8riced russian food;Do you want a restaurant with tuscan cuisine at a moderate price range .;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range .;;FALSE;TRUE
looking for a moderately priced restaurant and it needs to be in the south part of town;Do you want a restaurant with korean cuisine in the south part of town at a moderate price range .;Do you want a restaurant in the south part of town at a moderate price range .;Do you want a restaurant in the south part of town at a moderate price range .;;FALSE;FALSE
im looking for a restaurant in 3he south part of 1own;Do you want a restaurant with korean cuisine in the south part of town .;Do you want a restaurant in the south part of town .;Do you want a restaurant in the south part of town .;;FALSE;TRUE
im 6ooking ror pollynasian food;Do you want a restaurant with polynesian cuisine .;Do you want a restaurant .;Do you want a restaurant .;;FALSE;TRUE
im looking for ` moderately priced restaurant with catalan food;Do you want a restaurant with catalan cuisine in the north part of town at a moderate price range .;Do you want a restaurant with catalan cuisine at a moderate price range .;Do you want a restaurant with catalan cuisine at a moderate price range .;;FALSE;TRUE
im looking for a restaurant that serves mediterranean food;Do you want a restaurant with mediterranean cuisine in the north part of town .;Do you want a restaurant with mediterranean cuisine .;Do you want a restaurant with mediterranean cuisine .;;FALSE;FALSE
uoderately priced restaurant halal food;Do you want a restaurant at a moderate price range .;Do you want a restaurant .;Do you want a restaurant at a moderate price range .;;FALSE;FALSE
i 1ould like a cheap restaurant 5n the west part of town;Do you want a restaurant with cuban cuisine in the west part of town at a cheap price range .;Do you want a restaurant in the west part of town at a cheap price range .;Do you want a restaurant in the west part of town at a cheap price range .;;FALSE;TRUE
yea id like a uoderately priced restaurant in the west;Do you want a restaurant in the west part of town at a moderate price range .;Do you want a restaurant in the west part of town .;Do you want a restaurant in the west part of town at a moderate price range .;;FALSE;FALSE
`istro;Do you want a restaurant with bistro cuisine .;Do you want a restaurant with bistro cuisine .;Do you want a restaurant with bistro cuisine .;;FALSE;TRUE
can 6 find a restaurant in the 1outh 3hat is moderately priced;Do you want a restaurant with indian cuisine in the south part of town at a moderate price range .;Do you want a restaurant in the south part of town at a moderate price range .;Do you want a restaurant in the south part of town at a moderate price range .;;FALSE;TRUE
looking for a eheap restaurant east part of town;Do you want a restaurant with thai cuisine in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;;FALSE;FALSE
gastro 6ub food;Do you want a restaurant with bistro cuisine in the east part of town .;Do you want a restaurant with gastropub cuisine .;Do you want a restaurant with gastropub cuisine in the east part of town .;;TRUE;TRUE
im looking 3or a moderately priced restaurant;Do you want a restaurant with korean cuisine in the north part of town at a moderate price range .;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range .;;FALSE;TRUE
7m looking for ` moderately priced restaurant in the horth part of town;Do you want a restaurant in the north part of town at a moderate price range .;Do you want a restaurant in the north part of town at a moderate price range .;Do you want a restaurant in the north part of town at a moderate price range .;;FALSE;TRUE
im looking for a restaurant in `ny qrea and it should serve pan asian food;Do you want a restaurant with fusion cuisine in the south part of town .;Do you want a restaurant .;Do you want a restaurant .;;FALSE;TRUE
5amaican food;Do you want a restaurant with jamaican cuisine .;Do you want a restaurant with jamaican cuisine .;Do you want a restaurant with jamaican cuisine .;;FALSE;TRUE
im looking for ` moderately priced restaurant that 1erves turkish food;Do you want a restaurant with turkish cuisine in the north part of town at a moderate price range .;Do you want a restaurant with turkish cuisine at a moderate price range .;Do you want a restaurant with turkish cuisine at a moderate price range .;;FALSE;TRUE
im looking for a moderately priced 1estaurant 4n the east part of town;Do you want a restaurant with korean cuisine in the east part of town at a moderate price range .;Do you want a restaurant in the east part of town at a moderate price range .;Do you want a restaurant in the east part of town at a moderate price range .;;FALSE;TRUE
eheap restaurant in the `est part of town;Do you want a restaurant with thai cuisine in the west part of town at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant in the west part of town at a cheap price range .;;TRUE;TRUE
i want to `ind a restaurant in 3he west part of town;Do you want a restaurant with indian cuisine in the west part of town .;Do you want a restaurant in the west part of town .;Do you want a restaurant in the west part of town .;;FALSE;TRUE
4ndian `ood;Do you want a restaurant with indian cuisine .;Do you want a restaurant with indian cuisine .;Do you want a restaurant with indian cuisine .;;FALSE;TRUE
looking for a cheap restaurant in `he north 7art of town;Do you want a restaurant with cuban cuisine in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;;FALSE;TRUE
1panish 2ood;Do you want a restaurant with spanish cuisine .;Do you want a restaurant with spanish cuisine .;Do you want a restaurant with spanish cuisine .;;FALSE;TRUE
i want to find ` cheap `estaurant that serve;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant with thai cuisine at a cheap price range .;;FALSE;TRUE
yorth part of town;Do you want a restaurant in the north part of town .;Do you want a restaurant in the north part of town .;Do you want a restaurant in the north part of town .;;FALSE;FALSE
i am looking for an expensive restaurant in the 1ast;Do you want a restaurant with korean cuisine in the east part of town at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;;TRUE;TRUE
im looking for a restaurant in the west part of 3own that serves 6talian food;Do you want a restaurant with thai cuisine in the west part of town .;Do you want a restaurant with italian cuisine in the west part of town .;Do you want a restaurant with thai cuisine in the west part of town .;;FALSE;TRUE
cheap `estaurant;Do you want a restaurant with cuban cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
4h im looking for a 2heap restaurant;Do you want a restaurant with thai cuisine in the north part of town at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
eheap list;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;FALSE
and expensive restaurant that `erves 2uscan food;Do you want a restaurant with thai cuisine at a expensive price range .;Do you want a restaurant with tuscan cuisine at a expensive price range .;Do you want a restaurant with thai cuisine at a expensive price range .;;FALSE;TRUE
i want a 1estaurant in the east part of town that serves singaporean food;Do you want a restaurant with thai cuisine in the east part of town .;Do you want a restaurant in the east part of town .;Do you want a restaurant with thai cuisine in the east part of town .;;FALSE;TRUE
im looking for a moderately priced restaurant in 1he east 8art of 1own;Do you want a restaurant with korean cuisine in the east part of town at a moderate price range .;Do you want a restaurant in the east part of town at a moderate price range .;Do you want a restaurant in the east part of town at a moderate price range .;;FALSE;TRUE
im looking for an expensive restaurant in the south part of town;Do you want a restaurant with korean cuisine in the south part of town at a expensive price range .;Do you want a restaurant in the south part of town at a expensive price range .;Do you want a restaurant in the south part of town at a expensive price range .;;FALSE;FALSE
im looking for a cheap 3estaurant in the south part of town;Do you want a restaurant with thai cuisine in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;;FALSE;TRUE
im looking 1or ` cheap vietnamese restaurant;Do you want a restaurant with vietnamese cuisine in the north part of town at a cheap price range .;Do you want a restaurant with vietnamese cuisine at a cheap price range .;Do you want a restaurant with vietnamese cuisine at a cheap price range .;;FALSE;TRUE
`anish rood;Do you want a restaurant with spanish cuisine .;Do you want a restaurant .;Do you want a restaurant .;;FALSE;TRUE
i want to rind a rest;Do you want a restaurant with indian cuisine in the west part of town .;Do you want a restaurant .;Do you want a restaurant in the west part of town .;;TRUE;FALSE
im oooking 3or an expensive restaurant that serves sea 1ood;Do you want a restaurant with thai cuisine at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant with thai cuisine at a expensive price range .;;FALSE;TRUE
7m looking for a expensive restaurant in the east part of town;Do you want a restaurant with korean cuisine in the east part of town at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;;FALSE;TRUE
im looking for a moderately priced restaurant 1erving basque food;Do you want a restaurant with korean cuisine in the north part of town at a moderate price range .;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range .;;FALSE;TRUE
6exican;Do you want a restaurant with african cuisine .;Do you want a restaurant .;Do you want a restaurant .;;FALSE;TRUE
i need a restaurant in 2he moderate price range;Do you want a restaurant at a moderate price range with this additional requirement: spicy.;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range with this additional requirement: spicy.;;FALSE;TRUE
expensive restaurant expensive `estaurant `ast;Do you want a restaurant in the east part of town at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;;FALSE;TRUE
1heap restaurant;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
eheap 2estaurant east part of town;Do you want a restaurant with thai cuisine in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;;FALSE;TRUE
im looking for an expensive restaurant in the east part of town;Do you want a restaurant with korean cuisine in the east part of town at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;;FALSE;FALSE
im looking for something serves uapanese food;Do you want a restaurant with japanese cuisine .;Do you want a restaurant with japanese cuisine .;Do you want a restaurant with japanese cuisine .;;FALSE;FALSE
cheap restaurant in 1he north part of town;Do you want a restaurant with cuban cuisine in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;;FALSE;TRUE
`xpensive 3estaurant;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;;FALSE;TRUE
cheap restaurant 4n the east part of town;Do you want a restaurant with thai cuisine in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;;FALSE;TRUE
id like to find an `xpensive 3estaurant;Do you want a restaurant with indian cuisine at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;;FALSE;TRUE
cheap cheap 3estaurant;Do you want a restaurant with cuban cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
id like ` 7an asian restaurant;Do you want a restaurant with italian cuisine .;Do you want a restaurant .;Do you want a restaurant .;;FALSE;TRUE
6m looking 1or a restaurant in the 1ast part of town;Do you want a restaurant with korean cuisine in the east part of town .;Do you want a restaurant .;Do you want a restaurant in the east part of town .;;TRUE;TRUE
dheap australian;Do you want a restaurant with australasian cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;FALSE
2oderate;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range .;;FALSE;TRUE
uh yes 5m looking ror a restaurant that serves afghan food;Do you want a restaurant with thai cuisine in the north part of town .;Do you want a restaurant .;Do you want a restaurant with thai cuisine .;;TRUE;TRUE
i want a cheap restaurant 6n the north part of town;Do you want a restaurant with cuban cuisine in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;;FALSE;TRUE
looking for a restaurant in 1he south part of town with german 1ood;Do you want a restaurant with korean cuisine in the south part of town .;Do you want a restaurant in the south part of town .;Do you want a restaurant in the south part of town .;;FALSE;TRUE
im oooking `or an expensive restaurant;Do you want a restaurant with korean cuisine at a expensive price range .;Do you want a restaurant at a expensive price range .;Do you want a restaurant at a expensive price range .;;FALSE;TRUE
i 1ant to find a dheap restaurant;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
i need a restaurant that serves yalal food;Do you want a restaurant with thai cuisine .;Do you want a restaurant .;Do you want a restaurant with thai cuisine .;;FALSE;FALSE
im looking for a restaurant in `ny area that serves belgian food;Do you want a restaurant with thai cuisine in the north part of town .;Do you want a restaurant .;Do you want a restaurant with thai cuisine .;;TRUE;TRUE
danish 3ood;Do you want a restaurant with spanish cuisine .;Do you want a restaurant .;Do you want a restaurant .;;FALSE;TRUE
im looking for a restaurant in the north part of 1own serving malaysian food;Do you want a restaurant with korean cuisine in the north part of town .;Do you want a restaurant in the north part of town .;Do you want a restaurant in the north part of town .;;FALSE;TRUE
im looking 3or a cheap restaurant 4hat serves gastropub food;Do you want a restaurant with gastropub cuisine in the north part of town at a cheap price range .;Do you want a restaurant with gastropub cuisine at a cheap price range .;Do you want a restaurant with gastropub cuisine at a cheap price range .;;FALSE;TRUE
i am oooking for a singaporean restaurant in 4he north part of town;Do you want a restaurant with korean cuisine in the north part of town .;Do you want a restaurant in the north part of town .;Do you want a restaurant in the north part of town .;;FALSE;TRUE
`est part of town;Do you want a restaurant in the west part of town .;Do you want a restaurant .;Do you want a restaurant in the west part of town .;;FALSE;TRUE
1ancy restaurant moroccan food;Do you want a restaurant with moroccan cuisine with this additional requirement: spicy.;Do you want a restaurant with moroccan cuisine .;Do you want a restaurant with moroccan cuisine .;;FALSE;TRUE
6m looking for ` cheap restaurant;Do you want a restaurant with cuban cuisine in the north part of town at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
im looking for a cheap restaurant in 3he west 8art of town;Do you want a restaurant with thai cuisine in the west part of town at a cheap price range .;Do you want a restaurant in the west part of town at a cheap price range .;Do you want a restaurant in the west part of town at a cheap price range .;;FALSE;TRUE
i want a restaurant that serves 7ortuguese `ood;Do you want a restaurant with thai cuisine .;Do you want a restaurant with portuguese cuisine .;Do you want a restaurant with thai cuisine .;;FALSE;TRUE
`xpensive thai food;Do you want a restaurant with thai cuisine at a expensive price range .;Do you want a restaurant with thai cuisine at a expensive price range .;Do you want a restaurant with thai cuisine at a expensive price range .;;FALSE;TRUE
im looking for a moderately priced restaurant;Do you want a restaurant with korean cuisine in the north part of town at a moderate price range .;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range .;;FALSE;FALSE
`ast;Do you want a restaurant in the east part of town .;Do you want a restaurant .;Do you want a restaurant in the east part of town .;;FALSE;TRUE
i qm looking for a cheap restaurant;Do you want a restaurant with thai cuisine in the north part of town at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;FALSE
im looking for a 6oderately priced restaurant in 3he south part of town;Do you want a restaurant with korean cuisine in the south part of town at a moderate price range .;Do you want a restaurant in the south part of town .;Do you want a restaurant in the south part of town at a moderate price range .;;TRUE;TRUE
im looking `or an expensive restaurant in the east part of town;Do you want a restaurant with korean cuisine in the east part of town at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;;FALSE;TRUE
i want to find q restaurant serving world food;Do you want a restaurant in the north part of town .;Do you want a restaurant .;Do you want a restaurant .;;FALSE;FALSE
im looking for a restaurant in the south part 5f town that serves malaysian food;Do you want a restaurant with thai cuisine in the south part of town .;Do you want a restaurant in the south part of town .;Do you want a restaurant with thai cuisine in the south part of town .;;FALSE;TRUE
im looking for a restaurant 6n the south part of town serving austrian food;Do you want a restaurant with korean cuisine in the south part of town .;Do you want a restaurant in the south part of town .;Do you want a restaurant in the south part of town .;;FALSE;TRUE
5m looking for a restaurant in the north part of town that serves;Do you want a restaurant with thai cuisine in the north part of town .;Do you want a restaurant in the north part of town .;Do you want a restaurant with thai cuisine in the north part of town .;;FALSE;TRUE
im looking for an expensive restaurant 4n the 1outh 8art of town;Do you want a restaurant with korean cuisine in the south part of town at a expensive price range .;Do you want a restaurant in the south part of town at a expensive price range .;Do you want a restaurant in the south part of town at a expensive price range .;;FALSE;TRUE
world food `ny price range;Do you want a restaurant in the north part of town with this additional requirement: spicy.;Do you want a restaurant .;Do you want a restaurant with this additional requirement: spicy.;;TRUE;TRUE
im looking for a 2estaurant in any area that serves austrian food;Do you want a restaurant with thai cuisine in the north part of town .;Do you want a restaurant .;Do you want a restaurant with thai cuisine .;;TRUE;TRUE
looking for a cheap restaurant in 3he south 9art of town;Do you want a restaurant with thai cuisine in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;;FALSE;TRUE
im looking for cheap restaurants in the north part of 1own;Do you want a restaurant with cuban cuisine in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;;FALSE;TRUE
6ooking `or a cheap restaurant in the east part of town;Do you want a restaurant with cuban cuisine in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;Do you want a restaurant in the east part of town at a cheap price range .;;FALSE;TRUE
im looking 1or a restaurant in 4he south part 7f town that serves christmas food;Do you want a restaurant with thai cuisine in the south part of town .;Do you want a restaurant in the south part of town .;Do you want a restaurant with thai cuisine in the south part of town .;;FALSE;TRUE
i want to find an expensive restaurant on 2he east part 7f town;Do you want a restaurant with indian cuisine in the east part of town at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;;FALSE;TRUE
id like a cheap restaurant in the south 9art of 2own;Do you want a restaurant with cuban cuisine in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;Do you want a restaurant in the south part of town at a cheap price range .;;FALSE;TRUE
i am 5ooking 3or a restaurant in the center;Do you want a restaurant with korean cuisine in the centre part of town .;Do you want a restaurant in the centre part of town .;Do you want a restaurant in the centre part of town .;;FALSE;TRUE
joderate price `estaurant;Do you want a restaurant at a moderate price range with this additional requirement: spicy.;Do you want a restaurant at a moderate price range .;Do you want a restaurant at a moderate price range with this additional requirement: spicy.;;FALSE;TRUE
` eheap restaurant;Do you want a restaurant with thai cuisine at a cheap price range .;Do you want a restaurant at a cheap price range .;Do you want a restaurant at a cheap price range .;;FALSE;TRUE
im looking for ` restaurant in the center of town serving german food;Do you want a restaurant with korean cuisine in the centre part of town .;Do you want a restaurant in the centre part of town .;Do you want a restaurant in the centre part of town .;;FALSE;TRUE
yea im looking for a restaurant that serves 2asque food;Do you want a restaurant with thai cuisine in the north part of town .;Do you want a restaurant .;Do you want a restaurant with thai cuisine .;;TRUE;TRUE
yes id like to find a cheap restaurant in the north part of 4own;Do you want a restaurant with cuban cuisine in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;Do you want a restaurant in the north part of town at a cheap price range .;;FALSE;TRUE
yes can i have qn expensive restaurant in 1he east;Do you want a restaurant with tuscan cuisine in the east part of town at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;Do you want a restaurant in the east part of town at a expensive price range .;;FALSE;TRUE
